refArea,Fatalities,Observation URI,references,Month,publisher,Events,dataset,refPeriod
http://dbpedia.org/resource/Lebanon,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2016,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,31,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2016
http://dbpedia.org/resource/Lebanon,40,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2017,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,26,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2017
http://dbpedia.org/resource/Lebanon,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2018,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,14,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2018
http://dbpedia.org/resource/Lebanon,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2019,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,8,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2019
http://dbpedia.org/resource/Lebanon,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2020,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,16,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2020
http://dbpedia.org/resource/Lebanon,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2021,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,22,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2021
http://dbpedia.org/resource/Lebanon,6,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2022,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,33,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2022
http://dbpedia.org/resource/Lebanon,7,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-April-2023,https://data.humdata.org/dataset/lebanon-acled-conflict-data,April,ACLED,26,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2023
http://dbpedia.org/resource/Lebanon,11,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-August-2016,https://data.humdata.org/dataset/lebanon-acled-conflict-data,August,ACLED,36,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2016
http://dbpedia.org/resource/Lebanon,57,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-August-2017,https://data.humdata.org/dataset/lebanon-acled-conflict-data,August,ACLED,38,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2017
http://dbpedia.org/resource/Lebanon,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-August-2018,https://data.humdata.org/dataset/lebanon-acled-conflict-data,August,ACLED,5,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2018
http://dbpedia.org/resource/Lebanon,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-August-2019,https://data.humdata.org/dataset/lebanon-acled-conflict-data,August,ACLED,9,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2019
http://dbpedia.org/resource/Lebanon,7,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-August-2020,https://data.humdata.org/dataset/lebanon-acled-conflict-data,August,ACLED,25,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2020
http://dbpedia.org/resource/Lebanon,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-August-2021,https://data.humdata.org/dataset/lebanon-acled-conflict-data,August,ACLED,48,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2021
http://dbpedia.org/resource/Lebanon,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Violence_Events-Lebanon-August-2022,https://data.humdata.org/dataset/lebanon-acled-conflict-data,August,ACLED,14,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Violence_Events-Lebanon,2022
